"","FNID","date","V","IPC","chirps_mean","chirps_min","chirps_max","EFF_YEAR","COUNTRY","ADMIN2","ADMIN3","chirps_mean_w.sum","chirps_max_w.sum","chirps_min_w.sum","price_mean","FNID_OLD.y","price_w"
"5418","MW2012C3030804","2008-10","V53",NA,10.90859423,8.598854065,13.94814491,2012,"MW","Mulanje",NA,27.516196558471,35.1832590778836,21.6900320647592,41.4853566666667,"10921504",50.7120367976257
"5419","MW2012C3030804","2008-11","V53",NA,25.06143946,19.82140732,31.94722557,2012,"MW","Mulanje",NA,63.2157984502812,80.5847316113737,49.9981691850532,49.1283333333333,"10921504",66.6989408077102
"5420","MW2012C3030804","2008-12","V53",NA,59.69793959,49.92850494,79.71444702,2012,"MW","Mulanje",NA,150.584044585382,201.074340699181,125.941301585991,29.218405,"10921504",42.5637445898533
"5421","MW2012C3030804","2009-01","V53",NA,254.3095118,234.5396118,289.9709473,2012,"MW","Mulanje",NA,641.478669555169,731.432246348467,591.610424126691,44.687355,"10921504",61.3651046836045
"5422","MW2012C3030804","2009-02","V53",NA,151.0384249,136.4621429,188.3637695,2012,"MW","Mulanje",NA,380.984286316263,475.134962101942,344.216593601039,49.4799266666667,"10921504",63.2287437646057
"5423","MW2012C3030804","2009-03","V53",NA,224.7438524,162.5284119,307.2285461,2012,"MW","Mulanje",NA,566.901278712829,774.96338067209,409.967007103218,38.0323333333333,"10921504",37.3083599271437
"5424","MW2012C3030804","2009-04","V53",NA,46.4245441,19.33814621,86.37136841,2012,"MW","Mulanje",NA,117.102795617782,217.865977969708,48.7791754805065,31.1194433333333,"10921504",29.6466835028548
"5425","MW2012C3030804","2009-05","V53",NA,20.73105255,11.28067207,33.71394348,2012,"MW","Mulanje",NA,52.2926882055077,85.0411589245501,28.4547379291212,20.1502783333333,"10921504",24.21820248226
"5426","MW2012C3030804","2009-06","V53",NA,11.74573468,5.031658649,28.45035934,2012,"MW","Mulanje",NA,29.627827139238,71.7641213205682,12.6920211240651,26.0796666666667,"10921504",31.4872447969249
"5427","MW2012C3030804","2009-07","V53"," 1",15.30685229,4.675240517,27.6234169,2012,"MW","Mulanje",NA,38.6105072223519,69.678214535347,11.7929803154755,33.2716666666667,"10921504",42.6840806250402
"5428","MW2012C3030804","2009-08","V53",NA,9.878136931,4.242469788,20.10832214,2012,"MW","Mulanje",NA,24.9169372051056,50.7218925554712,10.7013452071526,30.9336666666667,"10921504",35.4065026661633
"5429","MW2012C3030804","2009-09","V53",NA,9.361449139,3.456748009,19.42604828,2012,"MW","Mulanje",NA,23.6136269394313,49.0009025504679,8.71941477181035,26.70875,"10921504",29.7146210312216
"5430","MW2012C3030804","2009-10","V53"," 1",24.42624087,19.50494003,33.87382889,2012,"MW","Mulanje",NA,61.6135526532897,85.4444591368078,49.1999016931688,28.5070833333333,"10921504",35.9740372558821
"5431","MW2012C3030804","2009-11","V53",NA,81.96056366,65.76490784,110.1292191,2012,"MW","Mulanje",NA,206.740019122669,277.793561268665,165.887564668832,38.9173333333333,"10921504",42.9454986194339
"5432","MW2012C3030804","2009-12","V53",NA,204.5108696,166.1460724,263.1271667,2012,"MW","Mulanje",NA,515.864938012038,663.720612036254,419.092312830152,42.2245416666667,"10921504",47.8544681760857
"5433","MW2012C3030804","2010-01","V53"," 1",134.4402971,117.207077,167.4386597,2012,"MW","Mulanje",NA,339.116623314243,422.352777512023,295.64698262462,42.4353333333333,"10921504",48.6007855189304
